Cycle,Capacity,Rct,Re,SOH,tau_real,CCA1,CCA2,CCA3,CCA4,tau_p1,tau_p2,tau_p3,tau_p4
1,1.8564874208181574,0.06945627304536996,0.04466870036616091,1.0,0.12894469720564058,26.7288660824843,1.8564874208181574,14.397547639027275,7.044274530060934,1.8564874208181574,0.12894469720564058,1.0,0.4892690551664574
2,1.846327249719927,0.07627474098530587,0.04668700162486933,0.9945272071416714,0.14082813274649958,24.206273608659217,1.846327249719927,13.110500108976408,6.685260097994978,1.846327249719927,0.14082813274649958,1.0,0.5099164823939675
3,1.8353491942234077,0.0679720560130687,0.044843430573346096,0.9886138595081705,0.12475245823329398,27.001525360223514,1.8353491942234077,14.711928087150023,7.039689468484326,1.8353491942234077,0.12475245823329398,1.0,0.47850216686642644
4,1.8352625275821128,0.07453388918437964,0.04619468955099375,0.9885671763794173,0.1367892538550497,24.62319553783242,1.8352625275821128,13.41671568387141,6.722352867851473,1.8352625275821128,0.1367892538550497,1.0,0.5010431037107383
5,1.8346455082120419,0.06852832896000328,0.04510114851143001,0.9882348178817771,0.12572519091174722,26.772074207191555,1.8346455082120419,14.592505248211324,7.008371115298008,1.834645508212042,0.12572519091174722,1.0,0.480271961262927
6,1.8356616600675495,0.07342664108773311,0.04599074473076839,0.9887821697485943,0.1347864698722923,24.999940523960873,1.8356616600675495,13.619035069371614,6.77432153974138,1.8356616600675495,0.1347864698722923,1.0,0.49741567631148986
7,1.8351461429226603,0.06804449516996176,0.044172075577171746,0.9885044855913476,0.12487159285827491,26.969795842247432,1.8351461429226603,14.69626598745713,7.035162884774735,1.8351461429226603,0.12487159285827491,1.0,0.47870410693294874
8,1.8257567905665537,0.07464778408413367,0.0452171085992494,0.9834468955151549,0.13628869869235297,24.458285171717737,1.8257567905665537,13.39624494242086,6.682430713286664,1.8257567905665537,0.13628869869235297,1.0,0.4988286450426062
9,1.8247738529891333,0.06845021227072765,0.043786628196075913,0.9829174345738104,0.12490615758317973,26.65841043373196,1.8247738529891333,14.609158493839244,6.974637648059344,1.8247738529891333,0.12490615758317973,1.0,0.47741542752107075
10,1.824613268496936,0.07395687603254197,0.04490994541365791,0.982830935473199,0.13494269730555913,24.67131342451624,1.824613268496936,13.521393190810103,6.70936702123374,1.824613268496936,0.13494269730555913,1.0,0.49620382504620913
11,1.8246195526864504,0.0683410113732366,0.04463932198878524,0.9828343204622076,0.12469634560197458,26.69874963836136,1.8246195526864504,14.632502210694755,6.979617512617323,1.8246195526864504,0.12469634560197458,0.9999999999999999,0.47699411981062184
12,1.8142019357673917,0.07208112164479205,0.04717044086931744,0.9772228539894279,0.13076971042026658,25.16889158173179,1.8142019357673917,13.873258034577924,6.757325789740896,1.8142019357673917,0.13076971042026658,1.0,0.487075622243804
13,1.8137521577549054,0.06868237655872211,0.043558785775475374,0.9769805803238794,0.12457280868311717,26.40782466524265,1.8137521577549054,14.559775740215093,6.9207838405918345,1.8137521577549054,0.12457280868311717,1.0,0.4753358818210474
14,1.8134404914735822,0.07102909339339247,0.04648969708635643,0.9768127007692816,0.12880703403223662,25.53095365345433,1.8134404914735822,14.078738052610786,6.804326942549827,1.8134404914735822,0.12880703403223662,1.0,0.4833051738815483
15,1.8025980036306504,0.0681437253042456,0.04526547818261783,0.9709723768751647,0.12283574319338855,26.452883161031732,1.8025980036306504,14.674865448509554,6.905354037002785,1.8025980036306504,0.12283574319338855,1.0,0.4705565486260812
16,1.80210690024615,0.07193029860543036,0.0463622366817154,0.9707078432300706,0.1296260874536121,25.0535161842092,1.80210690024615,13.902347402802318,6.719309070953054,1.80210690024615,0.1296260874536121,1.0,0.48332190789583007
17,1.802579500826209,0.06782555719716843,0.044483715777434665,0.9709624103091467,0.12226095903573136,26.576700219153714,1.802579500826209,14.7437049001014,6.921460468329637,1.8025795008262089,0.12226095903573136,1.0,0.469451912882632
18,1.8030683142834096,0.07288826952758304,0.04482791300205649,0.9712257104811376,0.13142252926813397,24.737427928661088,1.8030683142834096,13.719628775403578,6.678568145571197,1.8030683142834096,0.13142252926813397,1.0,0.48678927505272385
19,1.8027776247196041,0.06885805241213436,0.04441416485910045,0.9710691300699019,0.12413575617036558,26.18107195262342,1.8027776247196041,14.522629742919904,6.870127415657113,1.8027776247196041,0.12413575617036558,1.0,0.47306359366535866
20,1.8470259949329193,0.0727868237536811,0.04466450679894579,0.9949035873989017,0.1344391555616499,25.375829026191134,1.8470259949329193,13.738750345586089,6.846153361877628,1.8470259949329193,0.1344391555616499,1.0,0.49830975814165823
21,1.847417311283644,0.06779434699116274,0.04453544590029642,0.995114370594272,0.12524445023864428,27.250315008188842,1.847417311283644,14.750492399172366,7.095259240088453,1.847417311283644,0.12524445023864428,1.0,0.4810184669148102
22,1.8361774213478947,0.06940408185539676,0.04502135245555801,0.9890599854098058,0.12743820805226064,26.456331850532454,1.8361774213478947,14.408374453875748,6.969829208498215,1.836177421347895,0.12743820805226064,1.0,0.4837345969047453
23,1.8257807475776242,0.07041083307756363,0.04610646564263781,0.9834597999985366,0.12855474345391743,25.93039547716143,1.8257807475776242,14.202360010403703,6.88064072883298,1.8257807475776242,0.12855474345391743,1.0,0.4844716458245447
24,1.8251136435078368,0.06993774302336724,0.04646251600050638,0.9831004632950897,0.12764432898809255,26.09626168373834,1.8251136435078368,14.29843110129941,6.901350827449771,1.8251136435078368,0.12764432898809255,0.9999999999999999,0.4826649006842849
25,1.8255815042203762,0.06870142026856427,0.04766732499763113,0.9833524772367372,0.1254200421559618,26.57268943034804,1.8255815042203762,14.55573983901422,6.964955875053026,1.8255815042203762,0.1254200421559618,1.0,0.47850236072402375
26,1.8140311275083907,0.06950417544214327,0.04772385451119983,0.9771308478400268,0.12608273774385215,26.09959928261329,1.8140311275083907,14.387624824531887,6.880805586132788,1.8140311275083907,0.12608273774385215,1.0,0.47824471864185275
27,1.8147691941158939,0.06782851501053842,0.04786769518725868,0.9775284086310274,0.12309309952375262,26.755254686527277,1.8147691941158939,14.74306196803264,6.968113947535201,1.8147691941158939,0.12309309952375262,1.0,0.47263682148553354
28,1.813969388710352,0.069661211991841,0.04694022963323793,0.9770975921350076,0.12636330613366206,26.039876953659828,1.813969388710352,14.355190950698992,6.872811628418394,1.813969388710352,0.12636330613366206,1.0,0.4787683878272437
29,1.802765665167823,0.0690386303340568,0.045613419083722975,0.9710626880376818,0.12446047233645134,26.11241932878436,1.802765665167823,14.484644251505369,6.861091239766241,1.802765665167823,0.12446047233645134,1.0,0.473680341790457
30,1.804077040117352,0.07112946749607083,0.04702798243208013,0.9717690623092355,0.12832303918543486,25.3632861825798,1.804077040117352,14.05887088997594,6.764415884902251,1.804077040117352,0.12832303918543486,1.0,0.4811492998150598
31,1.8518025516704486,0.06971129972921941,0.04672887233883059,0.9974764875349146,0.12909156271883196,26.563879297379785,1.8518025516704486,14.344876711298085,7.01363382742168,1.8518025516704486,0.12909156271883196,1.0,0.48892952993438504
32,1.8307038456739428,0.07167079612312527,0.047755380262671634,0.9861116348782737,0.13120800208511854,25.54323301402883,1.8307038456739428,13.952684413914866,6.838281575785556,1.8307038456739428,0.13120800208511854,1.0,0.4901050846506504
33,1.8199041089501267,0.06913343554751465,0.04691622519628201,0.9802943389447215,0.12581622341876067,26.324514246067324,1.8199041089501267,14.464780928075113,6.921567137761078,1.8199041089501267,0.12581622341876067,1.0,0.4785117156062009
34,1.8093079637028517,0.06976696183555635,0.047022939446838434,0.9745867078945714,0.12622991965242503,25.933592578783443,1.8093079637028517,14.33343195246257,6.84995296189821,1.8093079637028517,0.12622991965242503,1.0,0.4779004068681086
35,1.80460990458052,0.06852215228822905,0.046604793185003,0.9720560906279802,0.12365575470251289,26.33615326310352,1.80460990458052,14.593820634728997,6.893945389045897,1.80460990458052,0.12365575470251289,1.0,0.47238797581493747
36,1.7993770651972192,0.0719248993978976,0.046245370477528074,0.9692374130950105,0.12942001439319423,25.017442919771614,1.7993770651972192,13.903391014395085,6.709382461875132,1.799377065197219,0.12942001439319423,1.0,0.4825716585923874
37,1.7884432335370462,0.06946896899621643,0.04683293993011124,0.9633478867036308,0.12424130754207813,25.744490804728255,1.7884432335370462,14.394916384241489,6.785466850598635,1.7884432335370462,0.12424130754207813,1.0,0.4713793862690909
38,1.7829230484252723,0.07193787056034481,0.04618610336751238,0.9603744299218223,0.12825968747667263,24.784206629103288,1.7829230484252723,13.900884085262904,6.647430573985913,1.7829230484252723,0.12825968747667263,1.0,0.47820200019027725
39,1.7730337158018288,0.06934916902797013,0.04624136663986422,0.9550475246530081,0.12295841484943097,25.566762235993384,1.7730337158018288,14.419783452584367,6.732810070713804,1.7730337158018288,0.12295841484943097,1.0,0.4669147836271511
40,1.773037755078937,0.0703395836124857,0.04773737014313117,0.9550497004162602,0.12471473742146882,25.20682756450398,1.773037755078937,14.216746085805575,6.685256685994189,1.773037755078937,0.12471473742146882,1.0,0.4702381716354173
41,1.7678721106662054,0.0695498357572787,0.049427483436388156,0.9522672175646096,0.12295521493670822,25.4187819628487,1.7678721106662054,14.37817917341876,6.703518159834089,1.7678721106662054,0.12295521493670822,1.0,0.46622858701239606
42,1.7623150704093087,0.06973812701544792,0.04838334154876506,0.9492739086983165,0.1229005522214424,25.270467473537575,1.7623150704093087,14.339358437006586,6.673419338308024,1.7623150704093087,0.1229005522214424,1.0,0.4653917654422714
43,1.7676172924938447,0.06488297170955903,0.04747841688797767,0.9521299593373235,0.11468826278220547,27.243161740593123,1.7676172924938447,15.412364348482402,6.939415234360825,1.7676172924938447,0.11468826278220547,1.0,0.45024988233191643
44,1.762668359743147,0.07012511424776673,0.048037510039299486,0.9494642085785509,0.12360732010791176,25.1360497398303,1.762668359743147,14.260226321582742,6.656314262813079,1.762668359743147,0.12360732010791176,1.0,0.4667747981488063
45,1.7517304870664143,0.06859813037774799,0.047703621105183044,0.9435725054869607,0.12016543633845789,25.536125801391293,1.7517304870664143,14.57765677421993,6.688229219147651,1.7517304870664143,0.12016543633845789,1.0,0.4588000199713542
46,1.7418496047960008,0.0697134641311117,0.048086960073381944,0.9382501520146926,0.12143036994573708,24.98584206804104,1.7418496047960008,14.34443134427056,6.597088686057858,1.7418496047960008,0.12143036994573708,1.0,0.4599059054852572
47,1.7360913511847138,0.06772207819825936,0.04815104655957722,0.935148459244402,0.11757171424425293,25.6355297618338,1.7360913511847138,14.766233207912729,6.67125336818787,1.7360913511847138,0.11757171424425293,0.9999999999999999,0.45179114228082
48,1.7936240148573608,0.07318009891168203,0.04754728174038817,0.9661385230754256,0.13125758281762992,24.509723839291468,1.7936240148573608,13.664917305001975,6.63032648333965,1.7936240148573608,0.13125758281762992,1.0,0.4852079478675405
49,1.7831890223273275,0.06914272874669278,0.04759013382319219,0.9605176972012408,0.1232945548748587,25.78997176782122,1.7831890223273275,14.462836774399532,6.781474363478085,1.7831890223273275,0.1232945548748587,1.0,0.4688896424166163
50,1.7673642076278957,0.07165247326552959,0.04764092098948851,0.9519936347583842,0.1266360166375117,24.665780915592418,1.7673642076278957,13.956252372394767,6.602531207302944,1.7673642076278957,0.1266360166375117,1.0,0.47308769081609897
51,1.7570177850353066,0.06898277923910441,0.04764024061757782,0.9464205172265512,0.12120396998427077,25.470382672539557,1.7570177850353066,14.496371573169785,6.689687238377226,1.7570177850353066,0.12120396998427077,1.0,0.4614732179436302
52,1.7468706179837907,0.07249983749010006,0.04842436953177311,0.9409547290193551,0.1266478359200555,24.0948211535278,1.7468706179837907,13.79313436580532,6.487721874330929,1.7468706179837907,0.1266478359200555,1.0,0.4703587815699597
53,1.7417172507457144,0.06795990180113623,0.04893386185534073,0.9381788592880077,0.11836693332602372,25.628601639865735,1.7417172507457144,14.714559225323672,6.681150917966459,1.7417172507457144,0.11836693332602372,1.0,0.4540503603035717
54,1.7364225056478186,0.0701407541984291,0.04943074564871873,0.9353268361401414,0.12179398415326402,24.75625655144022,1.7364225056478186,14.257046583374153,6.556471690742823,1.7364225056478186,0.12179398415326402,1.0,0.45987586926935126
55,1.7263217239235826,0.06895642914528509,0.049323007176718225,0.92988603346571,0.11904098163770294,25.03496403919605,1.7263217239235826,14.501911024033577,6.574070449767771,1.7263217239235826,0.11904098163770294,1.0,0.4533244231655238
56,1.7158065389330133,0.07112993844977841,0.04974822543014387,0.9242220117908766,0.12204521350603256,24.122142888461312,1.7158065389330133,14.058777805720359,6.433422922604919,1.7158065389330133,0.12204521350603256,0.9999999999999999,0.4576089765062814
57,1.710533351135192,0.06890956847456893,0.04912202877042455,0.9213816005181208,0.11787211508808436,24.822871322528513,1.710533351135192,14.511772778972631,6.516160623259861,1.7105333511351921,0.11787211508808436,1.0,0.4490258166598151
58,1.706014499648521,0.07198302765125617,0.04988486594475391,0.9189475137389712,0.12280408890164343,23.700232614746785,1.706014499648521,13.892163647864416,6.3586901548825905,1.706014499648521,0.12280408890164343,1.0,0.4577177692446839
59,1.7003110272642588,0.06977255608528674,0.047859449246718755,0.9158753289666399,0.11863504651222699,24.36933835684445,1.7003110272642588,14.332282721270042,6.4370377298316726,1.7003110272642588,0.11863504651222699,1.0,0.44912857602778716
60,1.6945798601797895,0.07146374397937286,0.04921638093217895,0.9127882263985312,0.12110102128048993,23.712441663690463,1.6945798601797895,13.993109572997433,6.338976737532486,1.6945798601797895,0.12110102128048993,1.0,0.4530070106622218
61,1.6849029086609286,0.06876809153866811,0.04887229013423192,0.9075757205607075,0.1158675574565629,24.50123118093967,1.6849029086609286,14.541627921107898,6.425122230941532,1.6849029086609286,0.1158675574565629,1.0,0.44184339372451875
62,1.6744741591159717,0.07088704261645878,0.04994593893656341,0.9019582574806932,0.11869852107741288,23.62172404590041,1.6744741591159717,14.10695048191807,6.289194424457604,1.6744741591159717,0.11869852107741288,1.0,0.44582239318972117
63,1.6745692479879102,0.0673151471016695,0.048296439195350184,0.902009477257823,0.11272387526023825,24.876559289972626,1.6745692479879102,14.855497507710249,6.45426379866334,1.6745692479879102,0.11272387526023825,1.0,0.4344697170400029
64,1.663716375981405,0.07178168505217358,0.048969605147940264,0.896163559916933,0.11942436491684083,23.17744943953537,1.663716375981405,13.931130193908976,6.209726417970122,1.663716375981405,0.11942436491684083,1.0,0.44574462599489334
65,1.659013868748246,0.0684158918231915,0.04814709226602492,0.893630546668135,0.11350291337745441,24.248954804764768,1.659013868748246,14.61648709607293,6.342661296628897,1.659013868748246,0.11350291337745441,1.0,0.4339388291413061
66,1.6538540573335014,0.0718319241428618,0.05022937602514056,0.8908512057704355,0.11879951918974428,23.023942029511275,1.6538540573335014,13.921386791911152,6.17075683699484,1.6538540573335014,0.11879951918974428,1.0,0.4432573370190591
67,1.642653782130131,0.06777935051052719,0.04845430020206581,0.8848181591266643,0.11133800646644132,24.235313111697657,1.642653782130131,14.753756010758533,6.309534748619594,1.642653782130131,0.11133800646644132,1.0,0.4276561672850385
68,1.6378578430223698,0.07139027154395669,0.04971526662508074,0.8822348186450748,0.11692711616376616,22.942311432642494,1.6378578430223698,14.007510804665818,6.129946550910153,1.6378578430223698,0.11692711616376616,1.0,0.4376185488194166
69,1.6327350407099108,0.06583444846364324,0.04868025293328389,0.8794754127611387,0.10749021089240107,24.800618503116663,1.6327350407099108,15.189616125549305,6.363398373614303,1.6327350407099108,0.10749021089240107,1.0,0.41893082228134204
70,1.6277528915533617,0.0724518691988788,0.04913216601843565,0.8767917699307696,0.11793373958692091,22.466679045715377,1.6277528915533617,13.802266401920173,6.047330136536662,1.627752891553362,0.11793373958692091,1.0,0.4381403720547921
71,1.622125485521159,0.06876463309502395,0.049918728983506716,0.8737605584239754,0.1115448638459501,23.589531602380376,1.622125485521159,14.542359276724818,6.185885579585836,1.622125485521159,0.1115448638459501,1.0,0.4253701522480196
72,1.6113256603765849,0.07304025099509703,0.04920968322529824,0.8679432148624366,0.11769163066874624,22.060790296089593,1.6113256603765849,13.69108110084571,5.962140344899298,1.6113256603765849,0.11769163066874624,1.0,0.43547622725943913
73,1.6065631397488385,0.06892300885560772,0.04943664953959982,0.865377875300024,0.11072916550800213,23.30953286027537,1.6065631397488385,14.508942900258162,6.119496408862639,1.6065631397488385,0.11072916550800213,1.0,0.4217741051798993
74,1.6015142233917594,0.07251082944035009,0.04950631616559385,0.8626582682073705,0.11612712469865459,22.08655225367709,1.6015142233917594,13.791043458172473,5.947430334182081,1.6015142233917594,0.11612712469865459,1.0,0.4312531065702412
75,1.590369231400328,0.06864846238725138,0.04940333988784369,0.8566549999565574,0.1091764023636273,23.166858748109025,1.590369231400328,14.566968657781748,6.069914277911189,1.590369231400328,0.1091764023636273,1.0,0.41669028200102637
76,1.5857889968242211,0.07201762091170956,0.04865176277959679,0.854187849075412,0.11420475081924696,22.01945824853516,1.5857889968242211,13.885490624939639,5.909163613114583,1.5857889968242211,0.11420475081924696,1.0,0.425563904994554
77,1.5849430707374117,0.06913086863703587,0.04915501980244644,0.853732189598637,0.10956849122032826,22.92670556562776,1.5849430707374117,14.465318022407494,6.028061307010618,1.5849430707374117,0.10956849122032826,0.9999999999999999,0.4167251143509498
78,1.5955263892495937,0.07316993618002728,0.04916575568371288,0.8594329115068511,0.11674456407494213,21.80576439651336,1.5955263892495937,13.6668152551015,5.898446620288794,1.5955263892495937,0.11674456407494213,1.0,0.43158896276782865
79,1.5747301747801037,0.06859455507457586,0.04870161283727027,0.8482309964083232,0.1080179157015503,22.957072512068343,1.5747301747801037,14.57841659462332,6.012586366063186,1.5747301747801037,0.1080179157015503,1.0,0.41243068662756516
80,1.5649019950937946,0.07277120733743579,0.04923427342088277,0.8429370312695894,0.11387980754773745,21.504411598359724,1.5649019950937946,13.741698627632479,5.8010599560417635,1.5649019950937946,0.11387980754773745,1.0,0.42215013683801134
81,1.5597659473370362,0.06871570767989431,0.04885677345766941,0.8401704907053151,0.1071804208862652,22.69882680395376,1.5597659473370362,14.552713400819597,5.950198071771077,1.5597659473370362,0.1071804208862652,1.0,0.40887207133729214
82,1.5594815668184234,0.07270866794574943,0.0505475864921389,0.8400173086716403,0.1133878274093178,21.448358371549443,1.5594815668184234,13.753518366560314,5.7834522146333125,1.5594815668184234,0.1133878274093178,1.0,0.4205071066538827
83,1.55468935359061,0.06853536104799454,0.0506497585783765,0.8374359751414073,0.1065511961658057,22.684484765490307,1.55468935359061,14.591007980533016,5.938630057226679,1.55468935359061,0.1065511961658057,1.0,0.40700615510250293
84,1.5488741079890418,0.07301041089661342,0.050118814742107526,0.8343035835418966,0.11308393505140553,21.214428037972954,1.5488741079890418,13.696676785123872,5.7322315291527675,1.5488741079890418,0.11308393505140553,1.0,0.4185125792979662
